"","x"
"1","L thalamus"
"2","L caudate"
"3","L putamen"
"4","L pallidum"
"5","L hippocampus"
"6","L amygdala"
"7","L accumbens"
"8","L diencephalon"
"9","R thalamus"
"10","R caudate"
"11","R putamen"
"12","R pallidum"
"13","R hippocampus"
"14","R amygdala"
"15","R accumbens"
"16","R diencephalon"
"17","L  V1"
"18","L  MST"
"19","L  V6"
"20","L  V2"
"21","L  V3"
"22","L  V4"
"23","L  V8"
"24","L  4"
"25","L  3b"
"26","L  FEF"
"27","L  PEF"
"28","L  55b"
"29","L  V3A"
"30","L  RSC"
"31","L  POS2"
"32","L  V7"
"33","L  IPS1"
"34","L  FFC"
"35","L  V3B"
"36","L  LO1"
"37","L  LO2"
"38","L  PIT"
"39","L  MT"
"40","L  A1"
"41","L  PSL"
"42","L  SFL"
"43","L  PCV"
"44","L  STV"
"45","L  7Pm"
"46","L  7m"
"47","L  POS1"
"48","L  23d"
"49","L  v23ab"
"50","L  d23ab"
"51","L  31pv"
"52","L  5m"
"53","L  5mv"
"54","L  23c"
"55","L  5L"
"56","L  24dd"
"57","L  24dv"
"58","L  7AL"
"59","L  SCEF"
"60","L  6ma"
"61","L  7Am"
"62","L  7PL"
"63","L  7PC"
"64","L  LIPv"
"65","L  VIP"
"66","L  MIP"
"67","L  1"
"68","L  2"
"69","L  3a"
"70","L  6d"
"71","L  6mp"
"72","L  6v"
"73","L  p24pr"
"74","L  33pr"
"75","L  a24pr"
"76","L  p32pr"
"77","L  a24"
"78","L  d32"
"79","L  8BM"
"80","L  p32"
"81","L  10r"
"82","L  47m"
"83","L  8Av"
"84","L  8Ad"
"85","L  9m"
"86","L  8BL"
"87","L  9p"
"88","L  10d"
"89","L  8C"
"90","L  44"
"91","L  45"
"92","L  47l"
"93","L  a47r"
"94","L  6r"
"95","L  IFJa"
"96","L  IFJp"
"97","L  IFSp"
"98","L  IFSa"
"99","L  p9-46v"
"100","L  46"
"101","L  a9-46v"
"102","L  9-46d"
"103","L  9a"
"104","L  10v"
"105","L  a10p"
"106","L  10pp"
"107","L  11l"
"108","L  13l"
"109","L  OFC"
"110","L  47s"
"111","L  LIPd"
"112","L  6a"
"113","L  i6-8"
"114","L  s6-8"
"115","L  43"
"116","L  OP4"
"117","L  OP1"
"118","L  OP2-3"
"119","L  52"
"120","L  RI"
"121","L  PFcm"
"122","L  PoI2"
"123","L  TA2"
"124","L  FOP4"
"125","L  MI"
"126","L  Pir"
"127","L  AVI"
"128","L  AAIC"
"129","L  FOP1"
"130","L  FOP3"
"131","L  FOP2"
"132","L  PFt"
"133","L  AIP"
"134","L  EC"
"135","L  PreS"
"136","L  H"
"137","L  ProS"
"138","L  PeEc"
"139","L  STGa"
"140","L  PBelt"
"141","L  A5"
"142","L  PHA1"
"143","L  PHA3"
"144","L  STSda"
"145","L  STSdp"
"146","L  STSvp"
"147","L  TGd"
"148","L  TE1a"
"149","L  TE1p"
"150","L  TE2a"
"151","L  TF"
"152","L  TE2p"
"153","L  PHT"
"154","L  PH"
"155","L  TPOJ1"
"156","L  TPOJ2"
"157","L  TPOJ3"
"158","L  DVT"
"159","L  PGp"
"160","L  IP2"
"161","L  IP1"
"162","L  IP0"
"163","L  PFop"
"164","L  PF"
"165","L  PFm"
"166","L  PGi"
"167","L  PGs"
"168","L  V6A"
"169","L  VMV1"
"170","L  VMV3"
"171","L  PHA2"
"172","L  V4t"
"173","L  FST"
"174","L  V3CD"
"175","L  LO3"
"176","L  VMV2"
"177","L  31pd"
"178","L  31a"
"179","L  VVC"
"180","L  25"
"181","L  s32"
"182","L  pOFC"
"183","L  PoI1"
"184","L  Ig"
"185","L  FOP5"
"186","L  p10p"
"187","L  p47r"
"188","L  TGv"
"189","L  MBelt"
"190","L  LBelt"
"191","L  A4"
"192","L  STSva"
"193","L  TE1m"
"194","L  PI"
"195","L  a32pr"
"196","L  p24"
"197","R  V1"
"198","R  MST"
"199","R  V6"
"200","R  V2"
"201","R  V3"
"202","R  V4"
"203","R  V8"
"204","R  4"
"205","R  3b"
"206","R  FEF"
"207","R  PEF"
"208","R  55b"
"209","R  V3A"
"210","R  RSC"
"211","R  POS2"
"212","R  V7"
"213","R  IPS1"
"214","R  FFC"
"215","R  V3B"
"216","R  LO1"
"217","R  LO2"
"218","R  PIT"
"219","R  MT"
"220","R  A1"
"221","R  PSL"
"222","R  SFL"
"223","R  PCV"
"224","R  STV"
"225","R  7Pm"
"226","R  7m"
"227","R  POS1"
"228","R  23d"
"229","R  v23ab"
"230","R  d23ab"
"231","R  31pv"
"232","R  5m"
"233","R  5mv"
"234","R  23c"
"235","R  5L"
"236","R  24dd"
"237","R  24dv"
"238","R  7AL"
"239","R  SCEF"
"240","R  6ma"
"241","R  7Am"
"242","R  7PL"
"243","R  7PC"
"244","R  LIPv"
"245","R  VIP"
"246","R  MIP"
"247","R  1"
"248","R  2"
"249","R  3a"
"250","R  6d"
"251","R  6mp"
"252","R  6v"
"253","R  p24pr"
"254","R  33pr"
"255","R  a24pr"
"256","R  p32pr"
"257","R  a24"
"258","R  d32"
"259","R  8BM"
"260","R  p32"
"261","R  10r"
"262","R  47m"
"263","R  8Av"
"264","R  8Ad"
"265","R  9m"
"266","R  8BL"
"267","R  9p"
"268","R  10d"
"269","R  8C"
"270","R  44"
"271","R  45"
"272","R  47l"
"273","R  a47r"
"274","R  6r"
"275","R  IFJa"
"276","R  IFJp"
"277","R  IFSp"
"278","R  IFSa"
"279","R  p9-46v"
"280","R  46"
"281","R  a9-46v"
"282","R  9-46d"
"283","R  9a"
"284","R  10v"
"285","R  a10p"
"286","R  10pp"
"287","R  11l"
"288","R  13l"
"289","R  OFC"
"290","R  47s"
"291","R  LIPd"
"292","R  6a"
"293","R  i6-8"
"294","R  s6-8"
"295","R  43"
"296","R  OP4"
"297","R  OP1"
"298","R  OP2-3"
"299","R  52"
"300","R  RI"
"301","R  PFcm"
"302","R  PoI2"
"303","R  TA2"
"304","R  FOP4"
"305","R  MI"
"306","R  Pir"
"307","R  AVI"
"308","R  AAIC"
"309","R  FOP1"
"310","R  FOP3"
"311","R  FOP2"
"312","R  PFt"
"313","R  AIP"
"314","R  EC"
"315","R  PreS"
"316","R  H"
"317","R  ProS"
"318","R  PeEc"
"319","R  STGa"
"320","R  PBelt"
"321","R  A5"
"322","R  PHA1"
"323","R  PHA3"
"324","R  STSda"
"325","R  STSdp"
"326","R  STSvp"
"327","R  TGd"
"328","R  TE1a"
"329","R  TE1p"
"330","R  TE2a"
"331","R  TF"
"332","R  TE2p"
"333","R  PHT"
"334","R  PH"
"335","R  TPOJ1"
"336","R  TPOJ2"
"337","R  TPOJ3"
"338","R  DVT"
"339","R  PGp"
"340","R  IP2"
"341","R  IP1"
"342","R  IP0"
"343","R  PFop"
"344","R  PF"
"345","R  PFm"
"346","R  PGi"
"347","R  PGs"
"348","R  V6A"
"349","R  VMV1"
"350","R  VMV3"
"351","R  PHA2"
"352","R  V4t"
"353","R  FST"
"354","R  V3CD"
"355","R  LO3"
"356","R  VMV2"
"357","R  31pd"
"358","R  31a"
"359","R  VVC"
"360","R  25"
"361","R  s32"
"362","R  pOFC"
"363","R  PoI1"
"364","R  Ig"
"365","R  FOP5"
"366","R  p10p"
"367","R  p47r"
"368","R  TGv"
"369","R  MBelt"
"370","R  LBelt"
"371","R  A4"
"372","R  STSva"
"373","R  TE1m"
"374","R  PI"
"375","R  a32pr"
"376","R  p24"
